city,country,stationName,stationNumber,latitude,longitude,
昆明市,两区,安丰村,T4816,254726,1030309,2547261030309
昆明市,两区,沧溪村,T4817,255312,1030742,2553121030742
昆明市,两区,则邑村,T4818,255346,1024809,2553461024809
昆明市,两区,恩祖村,T4819,260016,1025109,2600161025109
昆明市,两区,中槽子村,T4820,260207,1025255,2602071025255
昆明市,两区,以代块村,T4821,255657,1025046,2556571025046
昆明市,两区,乐作泥村,T4822,255938,1024424,2559381024424
昆明市,两区,幸福村,T4823,255829,1024707,2558291024707
昆明市,两区,乐乌村,T4824,261123,1025101,2611231025101
昆明市,官渡区,羊甫,T4827,255812,1024638,2558121024638
昆明市,官渡区,中闸,T4828,245831,1024418,2458311024418
昆明市,官渡区,福保,T4829,245613,1024136,2456131024136
昆明市,官渡区,牛街,T4830,250036,1024613,2500361024613
昆明市,官渡区,十里,T4831,250152,1024543,2501521024543
昆明市,官渡区,滇池会展中心,T4832,255642,1024205,2556421024205
昆明市,官渡区,王官,T4833,245442,1024521,2454421024521
昆明市,官渡区,中营,T4834,245650,1024423,2456501024423
昆明市,西山区,海埂公园,T4843,245746,1023955,2457461023955
昆明市,西山区,观音山小学,T4845,245011,1023943,2450111023943
昆明市,西山区,棋盘山,T4846,250307,1023442,2503071023442
昆明市,禄劝县,真金万水库,T4856,254647,1022916,2546471022916
昆明市,禄劝县,大河边水库,T4857,260802,1022935,2608021022935
昆明市,禄劝县,战备水库,T4858,253219,1023236,2532191023236
昆明市,禄劝县,旧铁厂水库,T4859,253945,1022307,2539451022307
